episode_id,seed,initial_task_class,success,collision,wrong_pick,wrong_bin,timeout,step_count,cycle_time_s,episode_return,mean_vision_latency_ms,p95_vision_latency_ms,mean_localization_error_mm,p95_localization_error_mm,mean_detection_confidence,task_selection_accuracy,calibration_fit_rmse_mm,safety_interventions
vision-guided-seed-901,901,scratch,True,False,False,False,False,99,3.96,11.157472177196206,6.6425121212244385,5.035160000807082,8.848890899784985,8.848890899784985,0.9152083206257035,1.0,9.100641453513181e-14,0
vision-guided-seed-902,902,unknown,True,False,False,False,False,94,3.7600000000000002,13.021751530562984,3.7676202127453933,4.985935000786412,14.39614309591995,14.39614309591995,0.9231643915599118,1.0,1.0293017473586257e-13,0
vision-guided-seed-903,903,unknown,True,False,False,False,False,112,4.48,12.285180516475986,3.573413392879437,4.821934999017684,6.976119135310765,6.976119135310765,0.9229071440086479,1.0,1.170334963935708e-13,0
vision-guided-seed-904,904,unknown,True,False,False,False,False,108,4.32,11.983514792035287,3.5357629629254883,4.628360000242537,12.785155357732094,12.785155357732094,0.9267246145525098,1.0,6.584999042446949e-13,0
vision-guided-seed-905,905,scratch,True,False,False,False,False,133,5.32,6.713553365654416,3.5033496240744957,4.7003600011521485,15.266576569077618,15.266576569077618,0.9189974196572651,1.0,4.250359660215829e-13,0
vision-guided-seed-906,906,scratch,True,False,False,False,False,85,3.4,16.474406427452404,3.61652470586277,4.806260000623297,14.487410939271163,14.487410939271163,0.9173178560593549,1.0,8.6749665043305e-14,0
vision-guided-seed-907,907,scratch,True,False,False,False,False,88,3.52,14.515300745843106,3.9434931818091585,4.891445000339445,18.01643434194727,18.01643434194727,0.9134328805587508,1.0,3.7127450461660235e-13,0
vision-guided-seed-908,908,unknown,True,False,False,False,False,136,5.44,7.614427573501315,4.339594853009283,5.279275001157657,18.700965648470376,18.700965648470376,0.9204789766786144,1.0,8.812630497288548e-14,0
vision-guided-seed-909,909,accepted,True,False,False,False,False,93,3.72,12.607708938057035,4.296955913882665,5.032219999702647,12.184043324719712,12.184043324719712,0.9294503713594114,1.0,7.464464029801666e-14,0
vision-guided-seed-910,910,unknown,True,False,False,False,False,116,4.64,10.957211519963337,4.621811206875306,5.817300000217074,11.333601693894051,11.333601693894051,0.9241321520216165,1.0,1.3435617170260373e-13,0
vision-guided-seed-911,911,unknown,True,False,False,False,False,89,3.56,15.269687247790724,4.604400000072234,5.589060000056634,15.042229727287129,15.042229727287129,0.9240597455242601,1.0,8.991789463289914e-14,0
vision-guided-seed-912,912,scratch,True,False,False,False,False,92,3.68,15.425276671202294,4.588977173783781,5.814659999941796,4.849587203345273,4.849587203345273,0.914598232810048,1.0,4.661688986929347e-13,0
vision-guided-seed-913,913,accepted,True,False,False,False,False,125,5.0,9.780658673785894,4.403098400012823,5.353660000037053,12.41607973202166,12.41607973202166,0.9294688742955525,1.0,1.4861360258289183e-13,0
vision-guided-seed-914,914,unknown,True,False,False,False,False,104,4.16,9.542646659374574,4.490977884643144,5.455989999427402,11.056539098222594,11.056539098222594,0.9217121629760816,1.0,8.813958343466906e-14,0
vision-guided-seed-915,915,unknown,True,False,False,False,False,98,3.92,17.795958085691318,4.4535051020291725,5.3914449998956115,6.84164521501822,6.84164521501822,0.9250167332538941,1.0,6.14379530363475e-14,0
