environment_step,critic_loss,actor_loss,temperature_loss,temperature,mean_absolute_residual,critic_gradient_norm,actor_gradient_norm
201,0.5146703720092773,0.22011405229568481,-4.970337390899658,0.07997600734233856,0.015585568733513355,1.7104586362838745,0.5814185738563538
202,0.3308607339859009,0.235178142786026,-4.946961402893066,0.07995202392339706,0.016024213284254074,1.3971335887908936,0.5879931449890137
203,0.4250534176826477,0.2641357481479645,-4.544593334197998,0.07992813736200333,0.014793895184993744,1.5442053079605103,0.5890951752662659
204,0.41777223348617554,0.2435884177684784,-5.607988357543945,0.07990413159132004,0.016269400715827942,1.4673157930374146,0.5893473625183105
205,0.4165434241294861,0.28100794553756714,-4.86842155456543,0.07988017052412033,0.01486274041235447,1.4834595918655396,0.5977177023887634
206,0.38832810521125793,0.27753692865371704,-5.404158115386963,0.07985614240169525,0.016278041526675224,1.4548057317733765,0.6073036789894104
207,0.27487099170684814,0.2956467866897583,-5.407407760620117,0.079832062125206,0.015715885907411575,1.1832987070083618,0.6133474707603455
208,0.30387192964553833,0.31478047370910645,-5.28444242477417,0.07980796694755554,0.016187509521842003,1.25761079788208,0.6308771967887878
209,0.2227163016796112,0.3040314018726349,-6.047135353088379,0.07978373020887375,0.016668906435370445,1.1053513288497925,0.6299231648445129
210,0.24464234709739685,0.3142947256565094,-6.216372966766357,0.07975936681032181,0.017279861494898796,1.0713738203048706,0.6361970901489258
211,0.25189703702926636,0.34233489632606506,-5.724253177642822,0.07973498851060867,0.016553323715925217,1.1350113153457642,0.6421829462051392
212,0.20108097791671753,0.3500840663909912,-6.030527591705322,0.07971054315567017,0.01716192252933979,1.0073217153549194,0.6592441201210022
213,0.1540372371673584,0.386907696723938,-5.3257904052734375,0.07968620210886002,0.01641850732266903,0.8107664585113525,0.6750053763389587
214,0.13837343454360962,0.35573121905326843,-6.7572221755981445,0.07966165989637375,0.01800423115491867,0.7955623269081116,0.6785880923271179
215,0.16276203095912933,0.33376428484916687,-7.630592346191406,0.07963680475950241,0.01927461102604866,0.8594080209732056,0.6726667284965515
216,0.09136650711297989,0.3999849557876587,-6.226695537567139,0.07961195707321167,0.01747903786599636,0.5231627821922302,0.7071975469589233
217,0.12260971963405609,0.3804137110710144,-7.313625812530518,0.07958690077066422,0.01879347302019596,0.6737788915634155,0.7152575254440308
218,0.10768763720989227,0.3830515146255493,-7.344073295593262,0.07956168800592422,0.019009923562407494,0.6997565627098083,0.7103391885757446
219,0.10167072713375092,0.4016888737678528,-7.368870735168457,0.0795363336801529,0.019352804869413376,0.48698240518569946,0.7340408563613892
220,0.09230297803878784,0.43106117844581604,-7.062171936035156,0.07951092720031738,0.018690580502152443,0.4377453327178955,0.7579411864280701
221,0.06561223417520523,0.3894943296909332,-8.758190155029297,0.07948518544435501,0.021697044372558594,0.4079529941082001,0.7575933933258057
222,0.044870972633361816,0.43460166454315186,-7.674884796142578,0.07945936173200607,0.019552063196897507,0.2152106910943985,0.7880706787109375
223,0.08584468066692352,0.40829047560691833,-8.919578552246094,0.07943323999643326,0.02149612084031105,0.177653968334198,0.7859613299369812
224,0.030291538685560226,0.42705464363098145,-8.774724960327148,0.07940692454576492,0.02181573584675789,0.04019993916153908,0.8210036754608154
225,0.07297319173812866,0.4225291609764099,-8.939841270446777,0.07938040047883987,0.021812060847878456,0.11148370057344437,0.806169867515564
226,0.04997425153851509,0.41333699226379395,-9.57831859588623,0.07935362309217453,0.023088211193680763,0.0726417750120163,0.8282999992370605
227,0.06603583693504333,0.432928204536438,-9.353792190551758,0.07932667434215546,0.022416898980736732,0.05666517838835716,0.8516778945922852
228,0.060143496841192245,0.4106811583042145,-10.001587867736816,0.07929947972297668,0.02331962063908577,0.13142907619476318,0.850696325302124
229,0.04764919355511665,0.4087072014808655,-10.119590759277344,0.0792720690369606,0.0248063076287508,0.22584646940231323,0.858123242855072
230,0.06821654736995697,0.38243260979652405,-11.27419376373291,0.07924430817365646,0.026359805837273598,0.4331412613391876,0.8716260194778442
231,0.06149286776781082,0.38465940952301025,-11.222963333129883,0.07921627908945084,0.02582559548318386,0.40244537591934204,0.8892827033996582
232,0.10028354823589325,0.3741675913333893,-11.760119438171387,0.07918795198202133,0.02769792452454567,0.4974137246608734,0.9016462564468384
233,0.09279501438140869,0.3592274487018585,-12.048041343688965,0.07915935665369034,0.027743453159928322,0.43895602226257324,0.9135560989379883
234,0.10522234439849854,0.33112475275993347,-13.1362886428833,0.07913041114807129,0.030268466100096703,0.6361040472984314,0.9193662405014038
235,0.08585424721240997,0.32059532403945923,-13.134267807006836,0.07910117506980896,0.030220892280340195,0.5963758826255798,0.9428033828735352
236,0.08372289687395096,0.2962021827697754,-13.826860427856445,0.07907162606716156,0.03180811554193497,0.5052549839019775,0.9266175627708435
237,0.09643495827913284,0.2764539122581482,-14.348689079284668,0.0790417492389679,0.03529645502567291,0.7072357535362244,0.9570444822311401
238,0.1254897117614746,0.2566014528274536,-14.925162315368652,0.07901156693696976,0.036581628024578094,0.8178338408470154,0.915835976600647
239,0.1482863426208496,0.22274236381053925,-15.438772201538086,0.07898107171058655,0.037304483354091644,0.9284592866897583,0.9501024484634399
240,0.10580214112997055,0.19636878371238708,-16.08934783935547,0.07895027101039886,0.03867902606725693,0.6568828821182251,0.8746986389160156
241,0.1280968189239502,0.1673419177532196,-16.59071159362793,0.0789191797375679,0.04118423908948898,0.899674117565155,0.9238883852958679
242,0.10866007208824158,0.16426481306552887,-16.044288635253906,0.07888791710138321,0.03995982185006142,0.6205545663833618,0.9046720266342163
243,0.13175353407859802,0.1309981495141983,-16.76142692565918,0.0788564532995224,0.04271963611245155,0.7852692008018494,0.8964012861251831
244,0.11705479025840759,0.12934228777885437,-16.561105728149414,0.07882487773895264,0.04189738631248474,0.7621150612831116,0.862012505531311
245,0.147790789604187,0.08955012261867523,-17.910314559936523,0.07879306375980377,0.04672854766249657,0.9198252558708191,0.7999836802482605
246,0.12460792064666748,0.023191258311271667,-19.398704528808594,0.07876092940568924,0.05353914946317673,0.7201436758041382,0.6758614778518677
247,0.1236552745103836,0.00371344992890954,-19.392066955566406,0.07872852683067322,0.0521576814353466,0.7982035875320435,0.7146796584129333
248,0.1090337336063385,0.007367689162492752,-18.837387084960938,0.07869600504636765,0.05362854525446892,0.8086748123168945,0.6518304347991943
249,0.09299852699041367,-0.05365942418575287,-20.528757095336914,0.07866322994232178,0.06223568320274353,0.64116370677948,0.4606403112411499
250,0.1023465096950531,-0.03397827222943306,-19.626312255859375,0.07863036543130875,0.05646946281194687,0.6819986701011658,0.610957145690918
251,0.09700965881347656,-0.08165726065635681,-20.763671875,0.07859732210636139,0.06258658319711685,0.7371057271957397,0.4804794490337372
252,0.09058068692684174,-0.07344971597194672,-20.231903076171875,0.07856421172618866,0.06370919197797775,0.6857947111129761,0.44565263390541077
253,0.0803326666355133,-0.07627283036708832,-20.108339309692383,0.07853110134601593,0.06448666751384735,0.5886543393135071,0.34000489115715027
254,0.07832425832748413,-0.10166485607624054,-20.59823989868164,0.07849795371294022,0.06796801090240479,0.5507631301879883,0.30817708373069763
255,0.059752076864242554,-0.1363624930381775,-20.784330368041992,0.07846477627754211,0.06766906380653381,0.518333375453949,0.30359941720962524
256,0.06579157710075378,-0.10382983088493347,-20.2493839263916,0.07843167334794998,0.07293952256441116,0.4436788260936737,0.18782445788383484
257,0.05023790895938873,-0.15551188588142395,-21.095516204833984,0.07839856296777725,0.07443665713071823,0.3860028386116028,0.11914809048175812
258,0.05070493370294571,-0.1682230532169342,-21.52104949951172,0.07836543023586273,0.07448630034923553,0.40323835611343384,0.21528834104537964
259,0.051296383142471313,-0.15473948419094086,-20.969898223876953,0.07833234965801239,0.07540882378816605,0.3327554166316986,0.25048020482063293
260,0.04993250593543053,-0.17655226588249207,-21.159801483154297,0.07829933613538742,0.07169534265995026,0.3209834396839142,0.2373719960451126
261,0.05116283521056175,-0.1635982245206833,-20.561689376831055,0.07826646417379379,0.07728179544210434,0.20862914621829987,0.22063499689102173
262,0.04686634987592697,-0.1839606612920761,-20.799076080322266,0.07823370397090912,0.07919177412986755,0.2157597690820694,0.24618448317050934
263,0.03678108751773834,-0.18705421686172485,-20.850561141967773,0.07820107042789459,0.07934226095676422,0.24095049500465393,0.3515354096889496
264,0.03298628330230713,-0.21026791632175446,-20.60961151123047,0.0781686007976532,0.08292053639888763,0.2771085500717163,0.3751881718635559
265,0.04256640002131462,-0.18134739995002747,-20.448076248168945,0.07813628762960434,0.08010900020599365,0.13332073390483856,0.3422410190105438
266,0.03312050923705101,-0.22253435850143433,-21.21389389038086,0.07810407131910324,0.07409550249576569,0.14647209644317627,0.14953403174877167
267,0.035117007791996,-0.2126905620098114,-20.793167114257812,0.07807198911905289,0.07989276945590973,0.12588420510292053,0.2943362295627594
268,0.02779705449938774,-0.24031172692775726,-21.40613555908203,0.0780399963259697,0.07789336889982224,0.1309494972229004,0.1849098652601242
269,0.034493450075387955,-0.239988774061203,-21.141761779785156,0.07800811529159546,0.08063673228025436,0.0789778083562851,0.304671049118042
270,0.03548332676291466,-0.21900057792663574,-20.52436065673828,0.07797642797231674,0.08569897711277008,0.03099992126226425,0.38530734181404114
271,0.03462199121713638,-0.24271723628044128,-21.22466468811035,0.07794485241174698,0.079118512570858,0.0797128975391388,0.2726621627807617
272,0.03547070547938347,-0.228092759847641,-20.59701919555664,0.07791344821453094,0.08096813410520554,0.052129801362752914,0.2699171304702759
273,0.026690304279327393,-0.23504474759101868,-20.794410705566406,0.07788219302892685,0.08177314698696136,0.048337362706661224,0.2638852894306183
274,0.03645194321870804,-0.26387086510658264,-21.44115447998047,0.07785101979970932,0.07802923768758774,0.08120528608560562,0.24279038608074188
275,0.030026085674762726,-0.2527351677417755,-21.06265640258789,0.07781997323036194,0.08161396533250809,0.032407812774181366,0.3457510769367218
276,0.02781437709927559,-0.25901010632514954,-21.042116165161133,0.0777890533208847,0.08150140941143036,0.06195937469601631,0.3232497572898865
277,0.024389056488871574,-0.2576156258583069,-21.028162002563477,0.07775825262069702,0.0784587413072586,0.019889602437615395,0.23121032118797302
278,0.028525613248348236,-0.2673139274120331,-21.106796264648438,0.07772757858037949,0.07930444180965424,0.07557392865419388,0.24484379589557648
