epoch,global_step,train_loss,validation_loss,validation_mean_pixel_error,validation_visibility_accuracy,validation_heatmap_loss,mean_gradient_norm,elapsed_s
1,30,1.7146238466103871,0.7160666863123576,2.3701416377851445,0.9361111111111111,0.6368412216504414,12.55494221051534,2.8135880999998335
2,60,0.42623349130153654,0.6064148704210918,1.6462108940328264,0.9361111111111111,0.5428205688794454,7.645011123021444,2.0121253999986948
3,90,0.26047197182973225,0.6292966961860657,1.6776020793367683,0.9361111111111111,0.5687158068021139,6.445725671450297,2.0145883000004687
4,120,0.18132432028651238,0.7509894410769145,1.6062875553361269,0.9361111111111111,0.6909996787707011,5.272119410832723,2.0023848000000726
5,150,0.13798179278771083,0.7443986972173054,1.7202565224305104,0.9361111111111111,0.6836541453997295,4.71702854235967,1.9971189000007143
6,180,0.12592511847615243,0.7641658425331116,1.7045310272307352,0.9361111111111111,0.7044462362925211,4.651461331049601,2.008246600000348
7,210,0.10919362331430117,0.8482685128847758,1.7438451916008864,0.9361111111111111,0.7881998658180237,3.820753256479899,2.0175476000003982
8,240,0.11225555340449016,0.8794628540674846,1.6950012041010796,0.9361111111111111,0.8194698572158814,4.335903950532278,2.01377390000016
9,270,0.10942023272315661,0.924944003423055,1.7427268174470474,0.9361111111111111,0.8645724534988404,4.235898129145304,2.0219458999999915
10,300,0.09502064660191537,1.0753266255060832,1.7902392303436612,0.9361111111111111,1.0151562293370564,3.107990783452988,2.0140630999994755
11,330,0.0928714357316494,1.0691033442815145,1.8447406742386483,0.9361111111111111,1.009980817635854,2.741126545270284,2.0201753999990615
12,360,0.09331984768311183,1.1287301858266194,1.760670496849113,0.9361111111111111,1.070048483212789,2.9997601588567098,2.032338199998776
13,390,0.0884146752456824,1.0304089625676474,1.7022905811947484,0.9361111111111111,0.9717280467351278,2.6375472913185756,2.0049283999996987
14,420,0.08016107864677906,1.1613042910893758,1.766573927640679,0.9361111111111111,1.1026088396708171,1.9389193385839463,1.992024400000446
15,450,0.08454246322313945,1.258000111579895,1.9451811476348062,0.9361111111111111,1.199346915880839,2.52185777425766,2.0432693999991898
16,480,0.08619190777341525,1.2138070066769917,1.8077314095728239,0.9361111111111111,1.1563771923383077,2.6837407102187476,2.0198072000002867
